SSID,Subviewer,State,BeforeX,BeforeY,BeforeWidth,BeforeHeight,AfterX,AfterY,AfterWidth,AfterHeight
43,MissionSupervisor,PowerOff,80,306,600,300,80,306,600,300
44,MissionSupervisor,Boot,820,306,600,300,820,306,600,300
45,MissionSupervisor,Operational,1600,306,1900,1120,1600,306,1900,1120
46,MissionSupervisor,ControlledShutdown,3680,306,700,300,3680,306,700,300
47,MissionSupervisor,FaultLatched,2450,1976,1100,360,2450,1976,1100,360
48,MissionSupervisor,EmergencyStopLatched,500,1976,900,360,500,1976,900,360
62,MissionSupervisor,MissionRegion,1660,426,820,500,1660,426,820,500
64,MissionSupervisor,EnergyRegion,2820,976,560,320,2820,976,560,320
65,MissionSupervisor,SafetyRegion,1660,976,520,320,1660,976,520,320
66,MissionSupervisor,HealthRegion,2240,976,520,320,2240,976,520,320
67,MissionRegion,Idle,147,226,300,120,1071,1495.5,300,120
68,MissionRegion,ValidateJob,537,226,320,120,1406,1495.5,320,120
69,MissionRegion,NavigatePickup,947,226,340,120,1761,1495.5,340,120
70,MissionRegion,Loading,1377,226,300,120,2136,1495.5,300,120
71,MissionRegion,NavigateDropoff,1767,226,340,120,2471,1495.5,340,120
72,MissionRegion,Unloading,2197,226,320,120,2846,1495.5,320,120
73,MissionRegion,ReturnHome,2607,226,320,120,3201,1495.5,320,120
75,MissionRegion,Aborting,537,646,2780,140,2263.5,1765.5,400,100
76,MissionRegion,Completed,3017,226,300,120,3556,1495.5,300,120
118,MissionSupervisor,NavigationRegion,2580,426,860,500,2580,426,860,500
119,NavigationRegion,NavIdle,80,165,300,130,1471,1516,300,130
120,NavigationRegion,Planning,530,165,330,150,1921,1516,330,150
121,NavigationRegion,Tracking,1040,165,380,160,2431,1516,380,160
122,NavigationRegion,Replanning,1040,515,330,150,2431,1866,330,150
123,NavigationRegion,Recovery,540,435,400,250,1931,1786,400,250
124,NavigationRegion,NavFailed,80,515,360,170,1471,1866,360,170
139,EnergyRegion,EnergyNormal,80,100,300,120,843.5,799,300,120
140,EnergyRegion,EnergyLow,480,100,300,120,1243.5,799,300,120
141,EnergyRegion,EnergyCritical,880,100,340,130,1643.5,799,340,130
142,EnergyRegion,GoToCharger,280,400,360,140,1043.5,1099,360,140
143,EnergyRegion,Charging,860,400,340,140,1623.5,1099,340,140
152,SafetyRegion,SafetyClear,80,100,320,120,1187,508.5,320,120
153,SafetyRegion,Slowdown,500,100,320,120,1607,508.5,320,120
154,SafetyRegion,ProtectiveStop,290,400,400,150,1397,808.5,400,150
161,HealthRegion,Healthy,80,100,320,120,901,515,320,120
162,HealthRegion,Degraded,500,100,340,120,1321,515,340,120
163,HealthRegion,FaultRequest,290,400,420,150,1111,815,420,150
